#Time Stamp,seconds since epoch,Input A,Input B,Input C,Input D1,Input D2,Pressure
Tue Feb  2 11:45:06 2016,1454431506.231124,+299.375,+299.397,+299.237,+299.038,+300.129,7.365E-1
Tue Feb  2 11:45:07 2016,1454431507.733761,+299.375,+299.397,+299.237,+299.038,+300.129,7.380E-1
Tue Feb  2 11:45:09 2016,1454431509.236451,+299.375,+299.397,+299.237,+299.038,+300.129,7.389E-1
Tue Feb  2 11:45:10 2016,1454431510.739181,+299.375,+299.397,+299.237,+299.038,+300.128,7.401E-1
Tue Feb  2 11:45:12 2016,1454431512.241585,+299.375,+299.397,+299.237,+299.038,+300.128,7.407E-1
Tue Feb  2 11:45:13 2016,1454431513.743959,+299.375,+299.397,+299.237,+299.038,+300.128,7.410E-1
Tue Feb  2 11:45:15 2016,1454431515.246581,+299.375,+299.397,+299.237,+299.038,+300.128,7.421E-1
Tue Feb  2 11:45:16 2016,1454431516.749311,+299.375,+299.397,+299.236,+299.038,+300.128,7.428E-1
Tue Feb  2 11:45:18 2016,1454431518.252034,+299.375,+299.397,+299.236,+299.038,+300.128,7.430E-1
Tue Feb  2 11:45:19 2016,1454431519.754724,+299.375,+299.397,+299.237,+299.037,+300.128,7.434E-1
Tue Feb  2 11:45:21 2016,1454431521.257385,+299.375,+299.397,+299.236,+299.037,+300.128,7.438E-1
Tue Feb  2 11:45:22 2016,1454431522.760099,+299.375,+299.397,+299.236,+299.037,+300.128,7.437E-1
Tue Feb  2 11:45:24 2016,1454431524.26279,+299.375,+299.397,+299.236,+299.037,+300.128,7.437E-1
Tue Feb  2 11:45:25 2016,1454431525.765484,+299.375,+299.397,+299.237,+299.037,+300.128,7.441E-1
Tue Feb  2 11:45:27 2016,1454431527.268153,+299.375,+299.397,+299.237,+299.037,+300.128,7.440E-1
Tue Feb  2 11:45:28 2016,1454431528.770852,+299.375,+299.397,+299.237,+299.038,+300.128,7.440E-1
Tue Feb  2 11:45:30 2016,1454431530.273507,+299.375,+299.397,+299.237,+299.038,+300.128,7.442E-1
Tue Feb  2 11:45:31 2016,1454431531.776141,+299.375,+299.397,+299.237,+299.038,+300.128,7.441E-1
Tue Feb  2 11:45:33 2016,1454431533.278769,+299.376,+299.397,+299.237,+299.038,+300.128,7.436E-1
Tue Feb  2 11:45:34 2016,1454431534.781487,+299.376,+299.397,+299.236,+299.038,+300.128,7.433E-1
Tue Feb  2 11:45:36 2016,1454431536.28413,+299.375,+299.397,+299.237,+299.037,+300.128,7.431E-1
Tue Feb  2 11:45:37 2016,1454431537.786785,+299.375,+299.397,+299.237,+299.037,+300.128,7.424E-1
Tue Feb  2 11:45:39 2016,1454431539.289446,+299.375,+299.397,+299.237,+299.038,+300.128,7.421E-1
Tue Feb  2 11:45:40 2016,1454431540.792117,+299.375,+299.397,+299.237,+299.038,+300.128,7.415E-1
Tue Feb  2 11:45:42 2016,1454431542.294808,+299.375,+299.397,+299.237,+299.038,+300.128,7.406E-1
Tue Feb  2 11:45:43 2016,1454431543.797517,+299.375,+299.397,+299.236,+299.037,+300.127,7.397E-1
Tue Feb  2 11:45:45 2016,1454431545.300141,+299.375,+299.396,+299.237,+299.037,+300.127,7.389E-1
Tue Feb  2 11:45:46 2016,1454431546.802856,+299.375,+299.397,+299.237,+299.038,+300.127,7.379E-1
Tue Feb  2 11:45:48 2016,1454431548.3055,+299.375,+299.397,+299.237,+299.038,+300.127,7.366E-1
Tue Feb  2 11:45:49 2016,1454431549.808181,+299.375,+299.397,+299.237,+299.038,+300.127,7.350E-1
Tue Feb  2 11:45:51 2016,1454431551.311052,+299.376,+299.397,+299.237,+299.038,+300.127,7.341E-1
Tue Feb  2 11:45:52 2016,1454431552.813795,+299.375,+299.397,+299.237,+299.038,+300.127,7.319E-1
Tue Feb  2 11:45:54 2016,1454431554.316589,+299.375,+299.397,+299.237,+299.037,+300.127,7.310E-1
Tue Feb  2 11:45:55 2016,1454431555.819508,+299.376,+299.397,+299.237,+299.037,+300.127,7.297E-1
Tue Feb  2 11:45:57 2016,1454431557.322356,+299.376,+299.397,+299.237,+299.038,+300.127,7.283E-1
Tue Feb  2 11:45:58 2016,1454431558.825435,+299.376,+299.397,+299.237,+299.037,+300.127,7.268E-1
Tue Feb  2 11:46:00 2016,1454431560.32839,+299.375,+299.397,+299.237,+299.038,+300.127,7.254E-1
Tue Feb  2 11:46:01 2016,1454431561.831195,+299.375,+299.397,+299.237,+299.038,+300.127,7.228E-1
Tue Feb  2 11:46:03 2016,1454431563.333983,+299.375,+299.397,+299.237,+299.038,+300.127,7.215E-1
Tue Feb  2 11:46:04 2016,1454431564.836723,+299.375,+299.397,+299.237,+299.037,+300.127,7.200E-1
Tue Feb  2 11:46:06 2016,1454431566.339397,+299.375,+299.397,+299.237,+299.037,+300.127,7.188E-1
Tue Feb  2 11:46:07 2016,1454431567.842246,+299.375,+299.397,+299.237,+299.037,+300.127,7.157E-1
Tue Feb  2 11:46:09 2016,1454431569.345087,+299.375,+299.397,+299.237,+299.037,+300.127,7.142E-1
Tue Feb  2 11:46:10 2016,1454431570.848023,+299.375,+299.397,+299.237,+299.037,+300.127,7.120E-1
Tue Feb  2 11:46:12 2016,1454431572.350746,+299.375,+299.397,+299.237,+299.037,+300.126,7.094E-1
Tue Feb  2 11:46:13 2016,1454431573.853439,+299.376,+299.397,+299.237,+299.037,+300.126,7.065E-1
Tue Feb  2 11:46:15 2016,1454431575.355504,+299.375,+299.397,+299.237,+299.037,+300.126,7.038E-1
Tue Feb  2 11:46:16 2016,1454431576.858394,+299.375,+299.397,+299.237,+299.037,+300.126,7.022E-1
Tue Feb  2 11:46:18 2016,1454431578.361257,+299.375,+299.397,+299.237,+299.037,+300.126,7.012E-1
Tue Feb  2 11:46:19 2016,1454431579.863215,+299.375,+299.398,+299.237,+299.037,+300.126,6.984E-1
Tue Feb  2 11:46:21 2016,1454431581.365899,+299.375,+299.397,+299.237,+299.038,+300.126,6.969E-1
Tue Feb  2 11:46:22 2016,1454431582.868754,+299.375,+299.397,+299.237,+299.037,+300.126,6.932E-1
Tue Feb  2 11:46:24 2016,1454431584.370965,+299.375,+299.397,+299.237,+299.038,+300.126,6.904E-1
Tue Feb  2 11:46:25 2016,1454431585.873071,+299.375,+299.397,+299.237,+299.038,+300.126,6.885E-1
Tue Feb  2 11:46:27 2016,1454431587.375978,+299.375,+299.398,+299.237,+299.037,+300.126,6.837E-1
Tue Feb  2 11:46:28 2016,1454431588.878018,+299.375,+299.398,+299.237,+299.038,+300.126,6.828E-1
Tue Feb  2 11:46:30 2016,1454431590.380585,+299.376,+299.397,+299.237,+299.038,+300.126,6.781E-1
Tue Feb  2 11:46:31 2016,1454431591.883386,+299.375,+299.398,+299.237,+299.039,+300.126,6.779E-1
Tue Feb  2 11:46:33 2016,1454431593.386201,+299.376,+299.397,+299.237,+299.038,+300.126,6.734E-1
Tue Feb  2 11:46:34 2016,1454431594.889075,+299.376,+299.396,+299.237,+299.039,+300.126,6.699E-1
Tue Feb  2 11:46:36 2016,1454431596.391348,+299.376,+299.397,+299.237,+299.038,+300.126,6.671E-1
Tue Feb  2 11:46:37 2016,1454431597.894121,+299.375,+299.398,+299.237,+299.038,+300.126,6.628E-1
Tue Feb  2 11:46:39 2016,1454431599.396895,+299.376,+299.398,+299.237,+299.037,+300.126,6.611E-1
Tue Feb  2 11:46:40 2016,1454431600.899755,+299.375,+299.398,+299.237,+299.037,+300.126,6.597E-1
Tue Feb  2 11:46:42 2016,1454431602.402592,+299.375,+299.397,+299.237,+299.037,+300.126,6.565E-1
Tue Feb  2 11:46:43 2016,1454431603.9053,+299.375,+299.397,+299.237,+299.037,+300.126,6.525E-1
Tue Feb  2 11:46:45 2016,1454431605.408025,+299.375,+299.397,+299.237,+299.037,+300.126,6.496E-1
Tue Feb  2 11:46:46 2016,1454431606.910712,+299.375,+299.397,+299.237,+299.037,+300.126,6.472E-1
Tue Feb  2 11:46:48 2016,1454431608.41279,+299.375,+299.398,+299.237,+299.037,+300.126,6.440E-1
Tue Feb  2 11:46:49 2016,1454431609.91543,+299.375,+299.397,+299.237,+299.037,+300.126,6.421E-1
Tue Feb  2 11:46:51 2016,1454431611.41802,+299.375,+299.397,+299.238,+299.037,+300.126,6.396E-1
Tue Feb  2 11:46:52 2016,1454431612.919903,+299.375,+299.397,+299.237,+299.037,+300.125,6.367E-1
Tue Feb  2 11:46:54 2016,1454431614.422544,+299.375,+299.397,+299.237,+299.037,+300.125,6.321E-1
Tue Feb  2 11:46:55 2016,1454431615.925273,+299.375,+299.397,+299.237,+299.037,+300.125,6.287E-1
Tue Feb  2 11:46:57 2016,1454431617.427958,+299.375,+299.397,+299.237,+299.037,+300.125,6.302E-1
Tue Feb  2 11:46:58 2016,1454431618.930608,+299.375,+299.397,+299.238,+299.037,+300.125,6.285E-1
Tue Feb  2 11:47:00 2016,1454431620.432568,+299.376,+299.397,+299.237,+299.037,+300.125,6.248E-1
Tue Feb  2 11:47:01 2016,1454431621.93525,+299.375,+299.397,+299.237,+299.037,+300.125,6.235E-1
Tue Feb  2 11:47:03 2016,1454431623.437949,+299.375,+299.397,+299.237,+299.037,+300.125,6.208E-1
Tue Feb  2 11:47:04 2016,1454431624.940607,+299.375,+299.398,+299.237,+299.037,+300.125,6.168E-1
Tue Feb  2 11:47:06 2016,1454431626.443295,+299.375,+299.397,+299.237,+299.037,+300.125,6.158E-1
Tue Feb  2 11:47:07 2016,1454431627.94599,+299.375,+299.397,+299.237,+299.037,+300.125,6.134E-1
Tue Feb  2 11:47:09 2016,1454431629.448754,+299.375,+299.397,+299.237,+299.037,+300.125,6.104E-1
Tue Feb  2 11:47:10 2016,1454431630.9515,+299.375,+299.397,+299.237,+299.037,+300.125,6.048E-1
Tue Feb  2 11:47:12 2016,1454431632.454137,+299.375,+299.397,+299.237,+299.037,+300.125,6.038E-1
Tue Feb  2 11:47:13 2016,1454431633.956856,+299.375,+299.397,+299.237,+299.037,+300.125,5.998E-1
Tue Feb  2 11:47:15 2016,1454431635.459528,+299.375,+299.398,+299.237,+299.037,+300.125,5.973E-1
Tue Feb  2 11:47:16 2016,1454431636.962259,+299.375,+299.397,+299.237,+299.037,+300.125,5.938E-1
Tue Feb  2 11:47:18 2016,1454431638.464898,+299.375,+299.398,+299.237,+299.037,+300.125,5.908E-1
Tue Feb  2 11:47:19 2016,1454431639.967621,+299.375,+299.397,+299.237,+299.037,+300.125,5.867E-1
Tue Feb  2 11:47:21 2016,1454431641.470206,+299.375,+299.397,+299.237,+299.037,+300.125,5.846E-1
Tue Feb  2 11:47:22 2016,1454431642.972729,+299.375,+299.397,+299.237,+299.037,+300.125,5.836E-1
Tue Feb  2 11:47:24 2016,1454431644.475385,+299.375,+299.398,+299.237,+299.037,+300.125,5.801E-1
Tue Feb  2 11:47:25 2016,1454431645.978067,+299.376,+299.398,+299.237,+299.037,+300.125,5.804E-1
Tue Feb  2 11:47:27 2016,1454431647.480699,+299.375,+299.398,+299.237,+299.037,+300.125,5.763E-1
Tue Feb  2 11:47:28 2016,1454431648.9834,+299.376,+299.396,+299.237,+299.037,+300.125,5.692E-1
Tue Feb  2 11:47:30 2016,1454431650.486014,+299.375,+299.397,+299.237,+299.037,+300.125,5.645E-1
Tue Feb  2 11:47:31 2016,1454431651.988479,+299.375,+299.397,+299.237,+299.037,+300.125,5.617E-1
Tue Feb  2 11:47:33 2016,1454431653.491104,+299.375,+299.397,+299.237,+299.037,+300.125,5.619E-1
Tue Feb  2 11:47:34 2016,1454431654.993174,+299.375,+299.397,+299.237,+299.037,+300.125,5.582E-1
Tue Feb  2 11:47:36 2016,1454431656.495789,+299.375,+299.397,+299.237,+299.037,+300.125,5.592E-1
Tue Feb  2 11:47:37 2016,1454431657.998454,+299.375,+299.397,+299.237,+299.036,+300.124,5.590E-1
Tue Feb  2 11:47:39 2016,1454431659.501111,+299.375,+299.397,+299.237,+299.037,+300.124,5.531E-1
Tue Feb  2 11:47:41 2016,1454431661.003721,+299.375,+299.397,+299.237,+299.037,+300.124,5.496E-1
Tue Feb  2 11:47:42 2016,1454431662.506343,+299.375,+299.397,+299.237,+299.037,+300.124,5.486E-1
Tue Feb  2 11:47:44 2016,1454431664.009032,+299.375,+299.397,+299.237,+299.037,+300.124,5.446E-1
Tue Feb  2 11:47:45 2016,1454431665.511615,+299.375,+299.397,+299.237,+299.037,+300.124,5.413E-1
Tue Feb  2 11:47:47 2016,1454431667.014265,+299.375,+299.397,+299.237,+299.037,+300.124,5.414E-1
Tue Feb  2 11:47:48 2016,1454431668.516911,+299.375,+299.397,+299.237,+299.037,+300.124,5.400E-1
Tue Feb  2 11:47:50 2016,1454431670.019595,+299.375,+299.397,+299.237,+299.037,+300.124,5.372E-1
Tue Feb  2 11:47:51 2016,1454431671.522272,+299.375,+299.397,+299.237,+299.037,+300.124,5.344E-1
Tue Feb  2 11:47:53 2016,1454431673.024899,+299.375,+299.398,+299.238,+299.037,+300.124,5.297E-1
Tue Feb  2 11:47:54 2016,1454431674.527551,+299.374,+299.398,+299.237,+299.037,+300.124,5.255E-1
Tue Feb  2 11:47:56 2016,1454431676.030186,+299.375,+299.397,+299.237,+299.037,+300.124,5.227E-1
Tue Feb  2 11:47:57 2016,1454431677.532811,+299.375,+299.397,+299.237,+299.037,+300.124,5.228E-1
Tue Feb  2 11:47:59 2016,1454431679.035401,+299.375,+299.397,+299.237,+299.037,+300.124,5.243E-1
Tue Feb  2 11:48:00 2016,1454431680.538035,+299.375,+299.397,+299.237,+299.037,+300.124,5.202E-1
Tue Feb  2 11:48:02 2016,1454431682.040724,+299.375,+299.397,+299.238,+299.037,+300.124,5.195E-1
Tue Feb  2 11:48:03 2016,1454431683.543399,+299.375,+299.397,+299.237,+299.037,+300.124,5.178E-1
Tue Feb  2 11:48:05 2016,1454431685.046064,+299.375,+299.397,+299.237,+299.037,+300.124,5.178E-1
Tue Feb  2 11:48:06 2016,1454431686.548735,+299.375,+299.397,+299.237,+299.037,+300.123,5.122E-1
Tue Feb  2 11:48:08 2016,1454431688.051392,+299.375,+299.397,+299.237,+299.038,+300.123,5.107E-1
Tue Feb  2 11:48:09 2016,1454431689.554054,+299.375,+299.397,+299.237,+299.037,+300.123,5.093E-1
Tue Feb  2 11:48:11 2016,1454431691.056776,+299.375,+299.397,+299.237,+299.037,+300.123,5.088E-1
Tue Feb  2 11:48:12 2016,1454431692.559424,+299.375,+299.397,+299.237,+299.037,+300.123,5.078E-1
Tue Feb  2 11:48:14 2016,1454431694.062066,+299.375,+299.397,+299.237,+299.037,+300.123,5.048E-1
Tue Feb  2 11:48:15 2016,1454431695.564743,+299.375,+299.398,+299.237,+299.037,+300.123,4.973E-1
Tue Feb  2 11:48:17 2016,1454431697.066496,+299.375,+299.397,+299.237,+299.037,+300.123,4.949E-1
Tue Feb  2 11:48:18 2016,1454431698.569172,+299.375,+299.397,+299.237,+299.037,+300.123,4.908E-1
Tue Feb  2 11:48:20 2016,1454431700.071813,+299.375,+299.397,+299.237,+299.037,+300.123,4.936E-1
Tue Feb  2 11:48:21 2016,1454431701.574497,+299.375,+299.397,+299.238,+299.037,+300.123,4.952E-1
Tue Feb  2 11:48:23 2016,1454431703.077166,+299.375,+299.397,+299.237,+299.037,+300.123,4.960E-1
Tue Feb  2 11:48:24 2016,1454431704.579836,+299.375,+299.397,+299.237,+299.037,+300.123,4.951E-1
Tue Feb  2 11:48:26 2016,1454431706.082415,+299.375,+299.398,+299.237,+299.037,+300.123,4.919E-1
Tue Feb  2 11:48:27 2016,1454431707.585098,+299.376,+299.397,+299.237,+299.038,+300.123,4.928E-1
Tue Feb  2 11:48:29 2016,1454431709.087771,+299.375,+299.397,+299.238,+299.037,+300.123,4.912E-1
Tue Feb  2 11:48:30 2016,1454431710.590467,+299.375,+299.397,+299.237,+299.037,+300.123,4.909E-1
Tue Feb  2 11:48:32 2016,1454431712.09317,+299.375,+299.397,+299.237,+299.037,+300.123,4.885E-1
Tue Feb  2 11:48:33 2016,1454431713.595791,+299.375,+299.398,+299.237,+299.037,+300.123,4.884E-1
Tue Feb  2 11:48:35 2016,1454431715.098317,+299.375,+299.397,+299.237,+299.037,+300.123,4.850E-1
Tue Feb  2 11:48:36 2016,1454431716.60102,+299.376,+299.397,+299.236,+299.037,+300.123,4.845E-1
Tue Feb  2 11:48:38 2016,1454431718.103734,+299.375,+299.397,+299.237,+299.037,+300.123,4.818E-1
Tue Feb  2 11:48:39 2016,1454431719.606391,+299.375,+299.397,+299.237,+299.037,+300.123,4.807E-1
Tue Feb  2 11:48:41 2016,1454431721.109046,+299.375,+299.397,+299.237,+299.037,+300.123,4.776E-1
Tue Feb  2 11:48:42 2016,1454431722.611754,+299.375,+299.397,+299.237,+299.037,+300.123,4.774E-1
Tue Feb  2 11:48:44 2016,1454431724.114421,+299.375,+299.397,+299.237,+299.037,+300.123,4.778E-1
Tue Feb  2 11:48:45 2016,1454431725.617137,+299.375,+299.397,+299.237,+299.037,+300.123,4.756E-1
Tue Feb  2 11:48:47 2016,1454431727.119854,+299.375,+299.397,+299.237,+299.037,+300.123,4.741E-1
Tue Feb  2 11:48:48 2016,1454431728.622541,+299.375,+299.397,+299.237,+299.037,+300.123,4.711E-1
Tue Feb  2 11:48:50 2016,1454431730.125247,+299.375,+299.397,+299.237,+299.037,+300.123,4.691E-1
Tue Feb  2 11:48:51 2016,1454431731.627938,+299.375,+299.397,+299.237,+299.037,+300.123,4.655E-1
Tue Feb  2 11:48:53 2016,1454431733.130551,+299.375,+299.397,+299.237,+299.037,+300.123,4.645E-1
Tue Feb  2 11:48:54 2016,1454431734.632309,+299.375,+299.398,+299.237,+299.037,+300.123,4.589E-1
Tue Feb  2 11:48:56 2016,1454431736.134934,+299.375,+299.398,+299.237,+299.037,+300.123,4.549E-1
Tue Feb  2 11:48:57 2016,1454431737.637632,+299.375,+299.397,+299.237,+299.037,+300.122,4.487E-1
Tue Feb  2 11:48:59 2016,1454431739.140403,+299.375,+299.397,+299.237,+299.037,+300.122,4.458E-1
Tue Feb  2 11:49:00 2016,1454431740.643042,+299.375,+299.397,+299.237,+299.037,+300.122,4.438E-1
Tue Feb  2 11:49:02 2016,1454431742.145834,+299.375,+299.397,+299.237,+299.037,+300.122,4.423E-1
Tue Feb  2 11:49:03 2016,1454431743.647987,+299.375,+299.397,+299.237,+299.037,+300.122,4.390E-1
Tue Feb  2 11:49:05 2016,1454431745.150655,+299.375,+299.397,+299.237,+299.037,+300.122,4.334E-1
Tue Feb  2 11:49:06 2016,1454431746.653199,+299.374,+299.398,+299.237,+299.037,+300.122,4.288E-1
Tue Feb  2 11:49:08 2016,1454431748.155898,+299.375,+299.397,+299.238,+299.037,+300.122,4.267E-1
Tue Feb  2 11:49:09 2016,1454431749.657985,+299.375,+299.398,+299.237,+299.037,+300.122,4.258E-1
Tue Feb  2 11:49:11 2016,1454431751.160172,+299.375,+299.397,+299.237,+299.037,+300.122,4.243E-1
Tue Feb  2 11:49:12 2016,1454431752.662766,+299.375,+299.397,+299.237,+299.037,+300.122,4.209E-1
Tue Feb  2 11:49:14 2016,1454431754.165527,+299.375,+299.397,+299.237,+299.037,+300.122,4.213E-1
Tue Feb  2 11:49:15 2016,1454431755.668172,+299.374,+299.397,+299.237,+299.037,+300.122,4.174E-1
Tue Feb  2 11:49:17 2016,1454431757.170898,+299.375,+299.397,+299.237,+299.037,+300.122,4.163E-1
Tue Feb  2 11:49:18 2016,1454431758.673689,+299.375,+299.398,+299.237,+299.037,+300.122,4.163E-1
Tue Feb  2 11:49:20 2016,1454431760.176386,+299.375,+299.398,+299.238,+299.037,+300.122,4.158E-1
Tue Feb  2 11:49:21 2016,1454431761.67899,+299.374,+299.397,+299.237,+299.037,+300.122,4.165E-1
Tue Feb  2 11:49:23 2016,1454431763.181585,+299.375,+299.397,+299.237,+299.037,+300.122,4.147E-1
Tue Feb  2 11:49:24 2016,1454431764.683392,+299.375,+299.398,+299.237,+299.037,+300.122,4.146E-1
Tue Feb  2 11:49:26 2016,1454431766.185596,+299.375,+299.397,+299.237,+299.037,+300.122,4.116E-1
Tue Feb  2 11:49:27 2016,1454431767.68796,+299.375,+299.397,+299.237,+299.037,+300.122,4.089E-1
Tue Feb  2 11:49:29 2016,1454431769.190651,+299.375,+299.397,+299.238,+299.037,+300.122,4.040E-1
Tue Feb  2 11:49:30 2016,1454431770.693392,+299.375,+299.397,+299.238,+299.037,+300.122,4.023E-1
Tue Feb  2 11:49:32 2016,1454431772.196033,+299.375,+299.397,+299.237,+299.037,+300.122,4.005E-1
Tue Feb  2 11:49:33 2016,1454431773.698189,+299.375,+299.397,+299.237,+299.037,+300.122,3.969E-1
Tue Feb  2 11:49:35 2016,1454431775.200897,+299.375,+299.397,+299.237,+299.037,+300.122,3.970E-1
