#Time Stamp,seconds since epoch,Input A,Input B,Pressure
Fri Jun  5 21:36:29 2015,1433554589.885665,+173.253,+80.8096,4.916E-6
Fri Jun  5 21:36:31 2015,1433554591.1046,+173.254,+80.8084,4.916E-6
Fri Jun  5 21:36:32 2015,1433554592.316982,+173.250,+80.8110,4.915E-6
Fri Jun  5 21:36:33 2015,1433554593.529567,+173.246,+80.8073,4.915E-6
Fri Jun  5 21:36:34 2015,1433554594.745628,+173.244,+80.8073,4.914E-6
Fri Jun  5 21:36:35 2015,1433554595.962459,+173.236,+80.8073,4.915E-6
Fri Jun  5 21:36:37 2015,1433554597.18023,+173.230,+80.8096,4.914E-6
Fri Jun  5 21:36:38 2015,1433554598.393125,+173.235,+80.8107,4.914E-6
Fri Jun  5 21:36:39 2015,1433554599.611649,+173.225,+80.7790,4.913E-6
Fri Jun  5 21:36:40 2015,1433554600.825769,+173.225,+80.8084,4.913E-6
Fri Jun  5 21:36:42 2015,1433554602.038782,+173.221,+80.8086,4.913E-6
Fri Jun  5 21:36:43 2015,1433554603.255675,+173.220,+80.8064,4.913E-6
Fri Jun  5 21:36:44 2015,1433554604.467867,+173.213,+80.8064,4.913E-6
Fri Jun  5 21:36:45 2015,1433554605.677546,+173.209,+80.8078,4.912E-6
Fri Jun  5 21:36:46 2015,1433554606.896465,+173.199,+80.8059,4.912E-6
Fri Jun  5 21:36:48 2015,1433554608.108504,+173.199,+80.8084,4.911E-6
Fri Jun  5 21:36:49 2015,1433554609.325873,+173.195,+80.8073,4.912E-6
Fri Jun  5 21:36:50 2015,1433554610.543608,+173.198,+80.8064,4.911E-6
Fri Jun  5 21:36:51 2015,1433554611.756192,+173.190,+80.8051,4.911E-6
Fri Jun  5 21:36:52 2015,1433554612.96945,+173.189,+80.8093,4.911E-6
Fri Jun  5 21:36:54 2015,1433554614.182651,+173.183,+80.8110,4.911E-6
Fri Jun  5 21:36:55 2015,1433554615.40076,+173.187,+80.8093,4.910E-6
Fri Jun  5 21:36:56 2015,1433554616.613216,+173.172,+80.8096,4.910E-6
Fri Jun  5 21:36:57 2015,1433554617.832516,+173.177,+80.8055,4.910E-6
Fri Jun  5 21:36:59 2015,1433554619.050712,+173.170,+80.8084,4.910E-6
Fri Jun  5 21:37:00 2015,1433554620.267515,+173.164,+80.8115,4.909E-6
Fri Jun  5 21:37:01 2015,1433554621.480602,+173.159,+80.8070,4.909E-6
Fri Jun  5 21:37:02 2015,1433554622.700177,+173.152,+80.8059,4.908E-6
